"IDRSSD"	RCFD0071	RCFD0081	RCFD1773	RCFD2130	RCFD2143	RCFD2145	RCFD2150	RCFD2160	RCFD2170	RCFD2930	RCFD2948	RCFD3000	RCFD3123	RCFD3190	RCFD3200	RCFD3210	RCFD3230	RCFD3300	RCFD3545	RCFD3548	RCFD3632	RCFD3656	RCFD3838	RCFD3839	RCFD5369	RCFD6724	RCFDA130	RCFDB528	RCFDB529	RCFDB530	RCFDB989	RCFDB995	RCFDG105	RCFDJA22	RCFDJJ34	RCFN2200	RCFN6631	RCFN6636	RCON0071	RCON0081	RCON1773	RCON2130	RCON2143	RCON2145	RCON2150	RCON2160	RCON2170	RCON2200	RCON2930	RCON2948	RCON3000	RCON3123	RCON3190	RCON3200	RCON3210	RCON3230	RCON3300	RCON3545	RCON3548	RCON3632	RCON3656	RCON3838	RCON3839	RCON5369	RCON6631	RCON6636	RCON6724	RCON8678	RCONA130	RCONB528	RCONB529	RCONB530	RCONB987	RCONB989	RCONB993	RCONB995	RCONG105	RCONJA22	RCONJJ34	
991854																																							3160	1144	2236	0	0	262	0	197	17893	16307	3	16310	0	96	0	0	1583	156	17893	0	0	495	0	0	941	0	5782	10525			0	9655	9559	-9	1335	0	0	0	1583	0	0	
992851																																							7877	3333	154322	0	1343	1850	207	2809	302310	285814	113	285927	0	710	0	0	16383	200	302310	0	0	10518	0	0	19408	0	80405	205409			0	131279	130569	-13743	0	0	0	0	16383	0	0	
993250																																							4678	9911	41358	652	1704	2265	0	9308	192937	168934	709	174982	0	3192	5339	0	17955	150	192937	0	0	9741	0	0	10100	602	44504	124430			0	125651	122459	-2036	0	0	0	0	17955	0	0	
994435																																							138564	43146	256160	0	0	14358	0	33106	1109803	1012381	3904	1033858	0	10409	17573	0	75945	28	1109803	0	0	73604	0	0	25188	739	496930	515452			-2010	624436	614027	-20865	0	0	0	0	75945	0	9703	
994770																																							10243	541	0	0	0	43	34	419	31611	28377	157	28534	0	225	0	0	3077	0	31611	0	0	3077	0	0	0	11	0	28377			0	20540	20315	0	0	0	0	0	3077	0	5	
995076																																							178845	36788	10233	3560	120	40218	0	20942	2909708	2575163	7645	2660645	0	22342	77837	0	249063	6582	2909708	0	0	216678	0	0	25920	3378	876899	1698264			0	1805040	1782698	-117	17590	0	0	0	249063	0	815336	
995272																																							154620	623	46573	0	0	6198	0	35583	585082	452076	7769	459845	0	1681	0	0	125237	0	585082	0	0	127390	0	0	0	0	20265	431811			0	343166	341485	-2153	0	0	0	0	125237	0	0	
995517																																							20104	6984	34393	0	1217	5790	158	16284	406455	345520	1827	364005	0	5967	10001	0	42450	800	406455	0	0	39601	0	0	4200	0	44724	300796			0	326992	321025	-2151	500	0	0	6657	42450	0	0	
995571																																							41447	5951	51821	0	0	2628	0	4272	213229	193687	2872	196559	0	2564	0	0	16670	1012	213229	0	0	11458	0	0	10559	0	52714	140973			0	109674	107110	-6359	0	0	0	0	16670	0	0	
995674																																							19634	1001	0	0	0	6569	0	2546	186404	166551	780	172331	0	1275	5000	0	14073	37	186404	0	0	9536	0	0	4500	0	14500	152051			0	157929	156654	0	0	0	0	0	14073	0	0	
995955																																							16050	1526	17315	0	0	119	0	598	50897	46478	99	46577	0	187	0	0	4320	100	50897	0	0	4887	0	0	100	0	20069	26409			0	15476	15289	-767	0	0	0	0	4320	0	0	
