"IDRSSD"	RCFDJJ03	RCONJJ03	RIAD3123	RIAD4230	RIAD4605	RIAD5523	RIADB522	RIADC079	RIADC233	RIADC389	RIADC390	RIADC435	RIADC781	RIADJH88	RIADJH89	RIADJH90	RIADJH91	RIADJH92	RIADJH93	RIADJH94	RIADJH95	RIADJH96	RIADJH97	RIADJH98	RIADJH99	RIADJJ00	RIADJJ01	RIADJJ02	
	Allowance for credit losses on other	Allowance for credit losses on other	ALLL_AMT	PROVISION FOR CREDIT LOSSES	RECOVERIES CREDITED TO RESERVES	WRITE DOWN ARISING FRM TRNSFR TO HFS	BEGIN BALANCE (MOST RECENT) IN ALLL	CHRG-OFFS ON ALLWNCE FOR L&L LOSSES	ADJUSTMENTS	SEPARATE VAL ALLOW CRED/FIN CHGS	AMT ALLOW LN&LSE LOSS CC/FIN CHGS	ALLOCATED TRANSFER RISK RESERVE	AMT OF ALLOWNCE FOR POST-ACQUISTN LO	Balance most recently reported for e	Recoveries, Held-to-maturity debt se	Provisions for credit losses, Held-t	Adjustments, Held-to-maturity debt s	Less: charge-offs, Held-to-maturity 	Balance end of current period, Held-	Balance most recently reported for e	Recoveries, Available-for-sale debt 	Provisions for credit losses, Availa	Adjustments, Available-for-sale debt	Less: charge-offs, Available-for-sal	Balance at end of current period, Av	Less: Write-downs arising from trans	Less: Write-downs arising from trans	Provisions for credit losses on othe	
357553			1628	0	0	0	1631	3	0																				
357777			1583	180	14	0	1598	209	0																				
357937			4889	825	63	0	4769	768	0																				
358112			985	60	8	0	1010	93	0																				
358448			567	0	70	0	567	70	0																				
358756			653	0	75	0	683	105	0																				
359472			395	17	1	0	377	0	0																				
359650			158	0	0	0	161	3	0																				
359744			338	0	14	0	324	0	0																				
360777			68	5	0	0	63	0	0				0																
361055			10875	3800	613	0	7349	887	0																				
361167		0	49006	20110	1650	0	24797	2854	5303					0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
361279			2077	500	8	0	1614	45	0																				
361354			578	25	10	0	591	48	0																				
361439			5636	1127	2	0	4986	479	0				0																
362043			372	0	19	0	356	3	0																				
362155			1816	120	68	0	1709	81	0																				
362717			8257	2475	84	0	5967	269	0			0	0																
362856			383	0	92	0	570	287	8																				
362940			943	250	25	0	742	74	0																				
363442			316	0	28	0	288	0	0																				
363648			1166	100	52	0	1015	1	0																				
363657			2422	290	80	0	2314	262	0				0																
363778			564	9	0	0	555	0	0																				
364131			1737	334	23	0	1411	31	0																				
364270			703	397	27	0	522	243	0				0																
364430			1846	881	23	0	1606	664	0																				
364850			815	122	99	0	801	207	0			0	0																
365325		250	235830	106293	9386	0	77057	32983	76077					0	0	20	3	0	23	0	0	0	0	0	0	0	0	250	
365745			1837	210	2	0	1698	73	0																				
365848			226	98	14	0	246	132	0																				
365950			444	363	0	0	90	9	0																				
366078			6231	2897	102	0	3451	219	0																				
366238			11558	5000	231	0	7237	910	0				0																
366247			1654	78	1	0	1576	1	0			0	0																
366359			638	70	54	0	789	275	0																				
